"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"250420 Catingueira";-;-;-;-;-;-;-;-;1;1;-;-;2
"250660 Ibiara";-;-;-;-;-;1;-;-;-;-;-;-;1
"250700 Itaporanga";-;-;-;-;-;-;-;-;-;-;1;-;1
"250900 Manaíra";-;1;-;-;1;-;-;-;-;1;-;-;3
"251210 Pombal";-;-;-;1;-;2;-;1;-;-;2;1;7
"251230 Princesa Isabel";-;-;3;-;-;-;-;-;1;1;2;-;7
"251250 Queimadas";-;1;-;-;-;-;-;-;-;-;-;-;1
"251280 Riacho dos Cavalos";-;-;-;1;-;-;-;-;-;-;-;-;1
"251370 Santa Rita";-;-;-;1;-;-;-;-;-;-;-;-;1
"251385 Santo André";-;-;1;-;-;-;-;-;-;-;-;-;1
"251520 São Sebastião do Umbuzeiro";-;-;1;-;-;-;-;-;-;-;-;-;1
"251670 Teixeira";2;-;-;-;-;-;-;-;2;-;1;-;5
"251690 Uiraúna";-;-;-;-;-;-;-;1;-;-;-;-;1
"260005 Abreu e Lima";-;-;-;-;-;-;-;-;-;1;-;-;1
"260060 Alagoinha";1;1;1;-;-;-;-;-;1;-;-;-;4
"260105 Araçoiaba";-;-;-;1;-;-;-;-;-;-;-;-;1
"260210 Bom Conselho";-;-;-;-;-;1;-;-;-;-;-;-;1
"260240 Brejão";-;-;-;-;-;-;-;-;-;-;-;1;1
"260290 Cabo de Santo Agostinho";-;-;-;-;-;-;1;-;-;-;-;-;1
"260345 Camaragibe";-;-;-;-;-;1;-;-;-;-;-;-;1
"260392 Carnaubeira da Penha";1;-;-;1;1;-;-;-;2;1;-;-;6
"260400 Carpina";-;-;2;1;1;-;1;-;-;-;-;-;5
"260430 Cedro";-;-;-;-;-;-;-;-;1;-;-;-;1
"260570 Floresta";-;-;1;-;-;-;-;-;-;-;-;-;1
"260765 Itambé";-;-;-;-;-;-;-;-;-;1;-;-;1
"260910 Machados";-;-;-;-;-;1;-;1;-;-;-;-;2
"260930 Mirandiba";1;-;2;-;-;3;2;-;-;-;-;-;8
"261000 Palmares";1;-;-;-;-;-;-;-;-;-;-;-;1
"261040 Parnamirim";-;-;1;-;1;-;-;-;-;-;-;-;2
"261090 Pesqueira";-;-;-;-;-;1;1;-;1;-;1;-;4
"261150 Quipapá";-;-;-;-;1;-;-;-;-;-;-;-;1
"261220 Salgueiro";-;-;-;-;-;-;-;1;-;-;-;1;2
"261245 Santa Cruz";-;-;-;-;-;-;-;-;1;-;-;-;1
"261250 Santa Cruz do Capibaribe";-;-;-;-;-;-;-;-;-;-;-;1;1
"261350 São José do Belmonte";-;1;-;-;-;-;-;-;-;-;-;-;1
"261400 Serrita";-;-;-;-;1;2;-;-;-;-;-;-;3
"261450 Surubim";-;-;-;-;-;-;-;1;-;-;-;-;1
"261470 Tacaimbó";-;-;-;1;-;-;-;-;-;-;-;-;1
"261520 Terra Nova";1;-;-;1;-;1;-;-;-;-;-;-;3
"261560 Trindade";-;-;-;-;-;-;-;1;-;-;-;-;1
"270210 Colônia Leopoldina";-;1;-;-;1;-;1;-;-;-;-;-;3
"270510 Matriz de Camaragibe";-;-;-;-;-;-;-;1;-;-;-;-;1
"270560 Novo Lino";-;-;-;-;-;1;-;-;-;-;-;1;2
"270780 Roteiro";-;-;-;-;-;-;1;-;-;-;-;-;1
"270860 São Miguel dos Campos";-;-;-;1;1;-;-;1;-;-;-;-;3
"270930 União dos Palmares";1;-;1;1;-;1;1;-;-;-;-;1;6
"280040 Arauá";-;-;1;-;-;-;-;-;-;-;-;-;1
"280067 Boquim";-;-;-;1;-;2;-;-;-;-;-;-;3
"280120 Canindé de São Francisco";-;-;1;-;-;-;-;-;-;-;-;-;1
"280170 Cristinápolis";-;-;1;-;-;1;-;-;-;-;-;-;2
"280210 Estância";-;-;-;-;-;-;-;1;-;-;-;-;1
"280290 Itabaiana";-;-;-;-;-;1;-;-;-;-;-;-;1
"280300 Itabaianinha";3;5;3;2;2;4;2;1;-;2;2;4;30
"280350 Lagarto";-;-;-;-;-;-;-;-;-;-;1;-;1
"280410 Moita Bonita";-;1;-;-;-;-;-;-;-;-;-;-;1
"280480 Nossa Senhora do Socorro";-;-;-;-;-;-;-;1;1;-;-;-;2
"280500 Pedra Mole";-;-;-;-;-;-;1;-;-;-;-;-;1
"280510 Pedrinhas";-;-;-;-;-;-;-;-;-;-;-;1;1
"280670 São Cristóvão";-;-;-;-;-;-;-;1;-;-;-;-;1
"280760 Umbaúba";-;-;1;1;-;-;-;-;-;-;-;-;2
"290140 Angical";-;-;-;-;1;-;-;-;-;-;-;-;1
"290390 Bom Jesus da Lapa";1;1;-;1;1;-;-;1;1;-;-;-;6
"290410 Boquira";-;-;-;-;1;-;-;-;1;1;-;-;3
"290440 Brejolândia";-;-;-;-;-;-;-;-;-;-;1;-;1
"290610 Canápolis";-;-;-;-;-;1;-;-;1;-;-;-;2
"290750 Catu";-;-;-;-;-;1;-;1;-;-;-;-;2
"290860 Conde";1;2;1;1;1;1;1;-;2;4;2;1;17
"290980 Cruz das Almas";-;-;1;-;-;-;-;-;-;-;-;-;1
"290050 Érico Cardoso";-;-;-;-;1;-;-;-;-;-;-;-;1
"291110 Formosa do Rio Preto";-;1;2;-;1;1;-;-;1;-;3;18;27
"291320 Ibotirama";-;-;-;-;-;1;-;-;-;-;-;-;1
"291430 Iramaia";1;-;-;1;1;-;-;-;-;-;-;-;3
"291610 Itaparica";-;-;1;-;-;-;-;-;-;-;-;-;1
"291750 Jacobina";-;-;2;-;-;-;-;-;-;2;1;-;5
"291880 Laje";-;-;-;-;-;-;-;-;-;-;-;1;1
"291950 Livramento de Nossa Senhora";-;-;1;1;-;-;-;-;-;-;-;-;2
"291955 Luís Eduardo Magalhães";-;-;-;-;-;-;-;-;-;-;1;-;1
"291960 Macajuba";2;-;-;-;1;-;-;-;-;-;-;-;3
"292170 Morro do Chapéu";-;-;-;-;-;-;-;-;-;-;-;1;1
"292205 Mulungu do Morro";4;-;-;-;-;1;-;2;-;1;-;1;9
"292270 Nova Canaã";1;-;-;-;-;-;-;-;-;-;-;-;1
"292370 Paratinga";-;-;1;-;1;-;-;-;-;-;-;-;2
"292620 Riachão das Neves";-;1;1;-;-;-;-;-;-;-;-;-;2
"292690 Rio do Pires";-;-;-;-;-;-;-;-;-;1;-;-;1
"292720 Ruy Barbosa";5;3;5;2;-;1;2;1;-;-;-;-;19
"292740 Salvador";-;-;1;-;-;-;-;-;-;-;-;-;1
"292810 Santa Maria da Vitória";-;-;-;2;2;2;4;4;5;3;-;-;22
"292840 Santa Rita de Cássia";-;-;1;-;-;1;-;-;1;-;1;-;4
"292830 Santanópolis";-;-;-;-;-;1;-;-;-;-;-;-;1
"292900 São Félix";1;-;-;-;-;-;-;1;-;-;-;-;2
"292905 São Félix do Coribe";-;-;1;2;2;3;1;1;2;1;2;-;15
"292950 São Sebastião do Passé";2;-;-;-;-;-;-;-;-;-;-;-;2
"293000 Sebastião Laranjeiras";1;-;-;-;-;-;-;-;-;-;-;-;1
"293015 Serra do Ramalho";1;-;-;-;-;-;-;-;-;-;-;-;1
"293305 Várzea da Roça";-;-;-;-;-;-;-;-;-;1;-;-;1
"310940 Buritizeiro";-;-;-;-;-;-;-;-;-;1;-;-;1
"311060 Cambuí";-;-;-;1;-;-;-;-;-;-;-;-;1
"311430 Carmo do Paranaíba";-;-;1;-;-;-;-;-;-;-;-;-;1
"311730 Conceição das Alagoas";-;-;-;-;-;1;-;-;-;-;-;-;1
"313380 Itaúna";-;-;1;-;-;-;-;-;-;-;1;-;2
"314070 Mateus Leme";-;-;-;-;-;1;-;1;-;1;1;-;4
"314085 Matias Cardoso";-;-;-;1;-;-;-;-;-;-;-;-;1
"314340 Monte Sião";-;-;-;-;-;-;-;-;-;-;-;1;1
"314470 Nova Era";-;-;-;-;-;-;-;-;-;-;-;1;1
"315140 Pitangui";-;-;-;1;-;-;-;-;-;1;-;-;2
"315250 Pouso Alegre";1;-;1;-;-;-;-;-;-;-;1;-;3
"316130 São Francisco de Sales";-;1;1;-;-;1;-;1;1;1;-;-;6
"316760 Simonésia";-;-;-;-;-;-;-;1;-;-;-;-;1
"317090 Varzelândia";-;-;1;-;2;-;-;-;-;-;1;2;6
"320060 Aracruz";-;-;-;-;-;-;1;-;-;-;-;-;1
"320150 Colatina";-;-;-;-;1;-;-;-;-;-;-;-;1
"320170 Conceição do Castelo";-;1;-;-;-;-;-;-;-;-;-;-;1
"320240 Guarapari";-;-;-;-;-;1;-;-;-;-;-;-;1
"320290 Itarana";-;-;-;-;-;-;-;-;-;-;1;-;1
"330170 Duque de Caxias";1;-;-;-;-;-;-;-;-;-;-;-;1
"330225 Itatiaia";-;-;-;-;-;-;1;-;-;-;-;-;1
"330240 Macaé";-;-;-;-;1;-;-;-;-;-;-;-;1
"330330 Niterói";-;-;-;-;1;-;-;-;-;-;-;-;1
"330510 São João de Meriti";1;-;-;-;-;-;-;1;-;-;-;-;2
"351907 Hortolândia";-;-;-;-;1;1;1;-;-;-;-;-;3
"352140 Iracemápolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;1;-;-;-;-;-;-;-;-;1
"352400 Itupeva";-;1;-;-;-;-;-;-;-;-;-;-;1
"352530 Jaú";-;-;-;-;1;-;-;-;-;-;-;-;1
"353440 Osasco";-;-;-;1;-;-;-;-;-;-;-;-;1
"353475 Ouroeste";-;-;-;-;-;-;-;-;-;-;1;-;1
"355030 São Paulo";2;-;-;2;-;-;1;-;-;-;-;-;5
"410180 Araucária";-;1;-;-;-;-;-;-;-;-;-;-;1
"410420 Campo Largo";-;-;-;-;-;-;-;1;1;-;-;-;2
"410620 Contenda";-;-;-;-;-;-;-;-;-;-;-;1;1
"410920 Guaraci";-;-;-;-;-;-;-;1;-;-;-;-;1
"411270 Jataizinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"411330 Laranjeiras do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"411605 Missal";-;-;-;-;-;-;-;2;-;-;-;-;2
"412120 Quitandinha";-;-;-;-;-;-;-;-;-;1;-;-;1
"412535 São Jorge do Patrocínio";-;-;-;-;-;-;-;-;-;-;1;-;1
"420130 Araquari";-;1;-;-;-;-;-;-;-;-;-;-;1
"421280 Balneário Piçarras";-;2;-;-;-;-;-;-;-;-;-;-;2
"420240 Blumenau";1;1;-;-;-;-;-;-;-;-;-;-;2
"420420 Chapecó";-;-;-;-;-;-;-;-;-;-;-;1;1
"420540 Florianópolis";-;3;1;-;-;1;-;-;-;-;-;-;5
"420670 Herval d'Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"420710 Ilhota";-;-;1;-;-;-;-;-;-;-;-;-;1
"420820 Itajaí";-;-;1;-;-;-;-;-;-;-;-;-;1
"420890 Jaraguá do Sul";1;2;-;-;-;-;-;-;-;-;-;-;3
"420910 Joinville";-;5;1;-;-;-;-;-;-;-;-;-;6
"421250 Penha";-;1;-;-;-;-;-;-;-;-;-;-;1
"421350 Porto Belo";-;-;1;-;-;-;-;-;-;-;-;-;1
"421850 Treze Tílias";-;-;-;-;-;-;-;1;-;-;-;-;1
"421870 Tubarão";-;-;-;-;-;-;-;1;-;-;-;-;1
"430105 Arroio do Sal";-;-;-;-;-;-;-;-;-;-;1;-;1
"430180 Barracão";-;-;-;-;-;-;-;-;-;-;-;1;1
"430460 Canoas";1;-;-;-;-;1;-;-;-;-;-;-;2
"430463 Capão da Canoa";1;-;-;1;-;-;1;-;-;-;-;-;3
"430466 Capão do Leão";-;-;1;-;-;-;-;-;-;-;-;-;1
"430471 Caraá";-;-;-;-;-;-;-;-;-;-;1;-;1
"430470 Carazinho";-;-;-;-;-;-;1;-;-;-;-;1;2
"430510 Caxias do Sul";-;-;2;1;-;-;1;1;-;-;-;1;6
"430650 Dom Feliciano";-;-;-;-;-;1;-;-;-;-;-;-;1
"430770 Esteio";-;-;-;-;-;-;1;-;-;-;-;-;1
"430790 Farroupilha";-;-;1;-;-;-;1;-;-;-;-;-;2
"430930 Guaíba";-;-;-;-;-;-;1;-;-;-;-;-;1
"431033 Imbé";-;-;-;1;-;-;-;-;-;-;-;-;1
"431140 Lajeado";-;1;-;-;1;-;-;-;-;-;-;-;2
"431180 Marau";-;-;-;-;-;-;-;-;-;1;-;-;1
"431240 Montenegro";-;-;-;-;-;1;-;-;-;-;-;-;1
"431350 Osório";-;-;1;-;-;-;-;-;-;-;-;-;1
"431410 Passo Fundo";-;-;-;-;-;-;-;-;-;-;-;1;1
"431442 Picada Café";-;-;-;-;-;1;-;-;-;-;-;-;1
"431760 Santo Antônio da Patrulha";-;-;1;-;-;-;-;-;-;-;-;-;1
"431990 Sapiranga";-;-;-;-;1;-;-;-;-;-;-;-;1
"432150 Torres";-;-;1;1;-;1;-;-;-;-;-;-;3
"432160 Tramandaí";1;-;-;-;-;-;-;-;-;-;-;-;1
"432240 Uruguaiana";-;-;-;-;-;-;2;-;-;-;-;-;2
"432300 Viamão";-;1;-;-;-;-;-;-;-;-;-;-;1
"432380 Xangri-lá";-;-;1;-;-;-;-;1;-;-;-;-;2
"500124 Aral Moreira";-;-;1;-;-;1;-;-;-;-;-;-;2
"500310 Corguinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"500570 Naviraí";-;-;1;-;-;-;-;-;-;-;-;-;1
"500600 Nova Alvorada do Sul";-;-;-;-;-;-;-;-;-;-;-;1;1
"520735 Edealina";-;-;-;-;-;-;-;1;-;-;-;-;1
"520750 Estrela do Norte";-;-;1;-;-;-;-;-;-;-;-;-;1
"521120 Itapuranga";-;-;-;1;-;-;-;-;-;-;-;-;1
"521210 Joviânia";-;-;-;-;-;-;-;1;-;-;-;-;1
"521640 Paraúna";-;-;-;-;-;-;-;-;-;-;-;1;1
"521910 Santa Bárbara de Goiás";-;-;-;-;-;2;-;-;1;-;-;-;3
"530010 Brasília";-;1;-;-;-;-;-;-;-;-;-;-;1
"Total";58;51;70;43;48;68;37;49;42;44;46;73;629
