 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1998
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"130395 São Sebastião do Uatumã";12;6;8;14;3;-;7;10;4;12;-;-;76
"130400 Silves";8;7;8;8;17;8;10;9;3;6;5;10;99
"130406 Tabatinga";55;65;81;69;66;74;68;61;102;61;2;44;748
"130410 Tapauá";21;8;24;16;20;20;13;19;11;29;14;11;206
"130420 Tefé";139;131;140;121;149;124;161;156;151;151;-;-;1423
"130423 Tonantins";-;-;-;1;1;-;-;-;-;-;-;-;2
"130426 Uarini";-;-;-;-;-;-;-;-;-;-;2;1;3
"130430 Urucará";21;17;15;16;19;14;21;20;19;33;8;20;223
"130440 Urucurituba";1;3;7;7;12;18;15;11;23;20;9;4;130
"130000 Município ignorado - AM";3;-;1;-;1;3;1;-;1;4;3;3;20
"140005 Alto Alegre";17;24;16;17;23;12;13;16;27;14;12;11;202
"140002 Amajari";5;4;3;3;7;8;5;3;2;1;4;-;45
"140010 Boa Vista";529;448;496;528;511;448;529;504;556;599;494;517;6159
"140015 Bonfim";12;12;14;13;14;11;9;8;17;8;10;17;145
"140017 Cantá";6;10;6;8;10;14;4;11;14;8;10;10;111
"140020 Caracaraí";30;21;25;25;27;15;23;22;27;22;27;28;292
"140023 Caroebe";17;8;2;9;7;12;7;4;9;10;9;11;105
"140028 Iracema";5;6;4;3;8;3;5;5;6;13;4;4;66
"140030 Mucajaí";28;33;43;27;31;20;29;20;29;27;29;19;335
"140040 Normandia";12;12;11;15;11;8;15;9;13;9;8;15;138
"140045 Pacaraima";11;17;8;10;13;7;1;10;12;7;11;15;122
"140047 Rorainópolis";14;11;27;18;18;25;14;18;19;16;20;23;223
"140050 São João da Baliza";12;6;10;13;10;8;11;6;15;13;12;13;129
"140060 São Luiz";7;4;9;5;11;4;6;10;11;10;12;13;102
"140070 Uiramutã";4;4;7;2;2;-;4;4;3;6;2;1;39
"140000 Município ignorado - RR";-;1;-;3;1;2;-;-;2;1;-;-;10
"150010 Abaetetuba";245;212;213;223;261;243;274;259;237;207;195;219;2788
"150013 Abel Figueiredo";2;4;4;2;5;2;12;5;10;7;13;7;73
"150020 Acará";42;40;41;58;49;39;57;43;52;34;51;65;571
"150030 Afuá";25;23;28;33;34;32;20;27;42;28;40;25;357
"150034 Água Azul do Norte";12;14;12;13;8;9;16;9;13;7;14;15;142
"150040 Alenquer";77;70;13;13;115;92;112;111;112;75;81;50;921
"150050 Almeirim";82;104;66;79;83;59;66;66;66;74;145;122;1012
"150060 Altamira";166;170;170;164;106;132;111;145;173;135;118;114;1704
"150070 Anajás";18;17;22;11;26;15;13;16;26;13;14;15;206
"150080 Ananindeua";926;789;920;867;889;831;855;920;907;864;841;785;10394
"150085 Anapu";13;13;11;16;14;18;8;18;17;16;11;8;163
"150090 Augusto Corrêa";52;35;37;9;47;60;56;57;65;60;29;32;539
"150095 Aurora do Pará";36;27;29;28;36;25;29;38;48;21;25;21;363
"150100 Aveiro";9;14;17;11;11;13;12;14;14;15;12;15;157
"150110 Bagre";14;6;3;6;9;19;10;2;11;7;10;6;103
"150120 Baião";15;4;13;7;17;25;23;24;19;14;18;10;189
"150125 Bannach";2;5;1;3;1;2;3;2;6;1;4;6;36
"150130 Barcarena";129;109;123;78;142;108;133;130;126;110;113;99;1400
"150140 Belém";2310;2084;2300;2354;2278;2227;2250;2176;2419;2081;1987;2152;26618
"150145 Belterra";3;3;13;9;2;3;1;3;6;-;5;-;48
"150150 Benevides";87;52;75;63;62;77;69;67;62;53;65;62;794
"150157 Bom Jesus do Tocantins";11;22;28;2;26;14;16;12;14;14;27;15;201
"150160 Bonito";23;15;14;8;9;15;12;23;25;15;13;12;184
"150170 Bragança";157;166;198;51;194;212;180;189;199;212;9;2;1769
"150172 Brasil Novo";24;19;21;20;19;21;23;21;14;20;16;29;247
"150175 Brejo Grande do Araguaia";22;7;4;4;8;11;9;7;12;9;7;3;103
"150178 Breu Branco";37;10;22;4;16;18;31;17;24;22;13;27;241
"150180 Breves";131;48;115;147;136;110;92;127;153;157;139;111;1466
"150190 Bujaru";18;18;29;25;22;20;22;27;39;32;23;21;296
"150200 Cachoeira do Arari";14;10;15;8;9;9;17;10;18;23;12;9;154
"150195 Cachoeira do Piriá";14;14;17;14;24;19;22;10;13;4;9;15;175
