"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,3164308,São Roque de Minas (MG),Total,Total,5,5,4,5,3,4,5,4,5,4,5,1
MU,3164407,São Sebastião da Bela Vista (MG),Total,Total,3,5,7,9,7,7,5,4,6,8,2,2
MU,3164431,São Sebastião da Vargem Alegre (MG),Total,Total,1,2,-,3,3,3,4,2,3,3,3,4
MU,3164472,São Sebastião do Anta (MG),Total,Total,7,10,5,6,9,4,1,3,10,12,6,9
MU,3164506,São Sebastião do Maranhão (MG),Total,Total,9,8,8,2,13,10,6,11,8,10,3,11
MU,3164605,São Sebastião do Oeste (MG),Total,Total,5,9,17,4,11,12,8,7,10,5,11,5
MU,3164704,São Sebastião do Paraíso (MG),Total,Total,77,75,100,73,68,71,62,47,67,63,55,60
MU,3164803,São Sebastião do Rio Preto (MG),Total,Total,1,1,2,6,-,1,-,1,-,-,1,1
MU,3164902,São Sebastião do Rio Verde (MG),Total,Total,3,1,1,1,-,-,1,2,-,2,6,2
MU,3165008,São Tiago (MG),Total,Total,2,9,10,11,13,11,8,7,5,9,5,3
MU,3165107,São Tomás de Aquino (MG),Total,Total,9,3,1,12,10,6,8,6,9,3,7,10
MU,3165206,São Thomé das Letras (MG),Total,Total,4,5,8,8,1,3,6,6,7,10,7,6
MU,3165305,São Vicente de Minas (MG),Total,Total,7,5,9,4,6,11,8,4,9,5,6,8
MU,3165404,Sapucaí-Mirim (MG),Total,Total,8,9,7,4,4,7,9,4,6,3,6,7
MU,3165503,Sardoá (MG),Total,Total,8,6,7,16,2,6,10,6,9,6,2,6
MU,3165537,Sarzedo (MG),Total,Total,55,66,44,38,39,51,34,38,37,30,34,28
MU,3165552,Setubinha (MG),Total,Total,13,10,9,10,16,15,11,12,5,17,8,14
MU,3165560,Sem-Peixe (MG),Total,Total,2,2,4,3,3,2,2,1,1,4,-,-
MU,3165578,Senador Amaral (MG),Total,Total,7,13,8,13,5,17,10,7,5,6,12,10
MU,3165602,Senador Cortes (MG),Total,Total,6,3,-,-,2,2,2,2,5,-,1,5
MU,3165701,Senador Firmino (MG),Total,Total,8,5,11,6,7,7,7,5,11,4,4,5
MU,3165800,Senador José Bento (MG),Total,Total,-,-,1,-,-,1,-,1,3,1,-,-
MU,3165909,Senador Modestino Gonçalves (MG),Total,Total,6,6,2,6,4,3,3,2,3,3,3,5
MU,3166006,Senhora de Oliveira (MG),Total,Total,5,3,4,4,3,8,7,8,3,7,7,5
MU,3166105,Senhora do Porto (MG),Total,Total,2,7,7,3,7,3,1,1,1,3,2,1
MU,3166204,Senhora dos Remédios (MG),Total,Total,11,8,6,7,5,15,12,6,7,3,6,2
MU,3166303,Sericita (MG),Total,Total,11,11,13,7,8,7,15,9,10,9,5,6
MU,3166402,Seritinga (MG),Total,Total,-,1,2,-,-,4,3,1,1,2,2,-
MU,3166501,Serra Azul de Minas (MG),Total,Total,7,9,3,6,6,4,2,2,8,7,8,4
MU,3166600,Serra da Saudade (MG),Total,Total,1,-,-,1,-,1,-,-,2,-,-,1
MU,3166709,Serra dos Aimorés (MG),Total,Total,4,8,13,8,11,8,7,5,8,5,6,9
MU,3166808,Serra do Salitre (MG),Total,Total,13,17,12,15,6,11,4,12,10,8,12,15
MU,3166907,Serrania (MG),Total,Total,6,7,8,8,13,7,6,5,9,6,6,7
MU,3166956,Serranópolis de Minas (MG),Total,Total,3,3,5,3,5,5,5,3,3,2,2,4
MU,3167004,Serranos (MG),Total,Total,1,-,5,2,1,2,2,3,4,1,1,2
MU,3167103,Serro (MG),Total,Total,20,29,32,23,22,22,20,22,26,10,19,25
MU,3167202,Sete Lagoas (MG),Total,Total,250,217,239,237,223,232,235,205,199,179,140,200
MU,3167301,Silveirânia (MG),Total,Total,1,4,3,4,1,3,-,2,1,-,2,1
MU,3167400,Silvianópolis (MG),Total,Total,9,4,10,10,1,4,9,7,3,8,7,3
MU,3167509,Simão Pereira (MG),Total,Total,1,1,1,3,2,1,1,4,1,2,4,-
MU,3167608,Simonésia (MG),Total,Total,19,25,30,25,32,30,33,25,23,17,19,17
MU,3167707,Sobrália (MG),Total,Total,7,5,5,4,2,10,6,3,3,5,2,5
MU,3167806,Soledade de Minas (MG),Total,Total,12,3,5,7,8,6,4,4,5,7,5,3
MU,3167905,Tabuleiro (MG),Total,Total,6,2,3,3,4,4,1,3,6,5,2,2
MU,3168002,Taiobeiras (MG),Total,Total,35,35,41,42,39,39,36,43,26,42,27,35
MU,3168051,Taparuba (MG),Total,Total,2,5,2,5,3,6,6,5,-,5,1,2
MU,3168101,Tapira (MG),Total,Total,3,5,7,2,5,6,3,8,2,3,3,3
MU,3168200,Tapiraí (MG),Total,Total,-,2,1,1,-,-,1,-,1,-,-,1
MU,3168309,Taquaraçu de Minas (MG),Total,Total,2,2,5,-,8,3,-,2,4,4,3,3
MU,3168408,Tarumirim (MG),Total,Total,16,11,15,15,19,8,9,15,11,14,10,6
MU,3168507,Teixeiras (MG),Total,Total,8,9,16,8,11,7,9,10,5,8,6,5
MU,3168606,Teófilo Otoni (MG),Total,Total,154,166,172,171,162,157,140,148,124,115,139,126
MU,3168705,Timóteo (MG),Total,Total,74,93,86,95,93,74,102,89,63,52,51,58
MU,3168804,Tiradentes (MG),Total,Total,10,8,8,11,7,11,9,5,8,5,14,7
MU,3168903,Tiros (MG),Total,Total,5,10,6,8,3,5,4,5,3,3,6,6
MU,3169000,Tocantins (MG),Total,Total,18,21,23,23,15,12,14,11,9,19,12,10
MU,3169059,Tocos do Moji (MG),Total,Total,4,3,3,2,4,4,3,1,4,1,1,3
MU,3169109,Toledo (MG),Total,Total,10,8,6,12,4,6,5,7,4,5,8,9
MU,3169208,Tombos (MG),Total,Total,9,7,12,4,4,9,9,10,7,4,8,9
MU,3169307,Três Corações (MG),Total,Total,76,104,89,118,80,71,69,82,62,87,69,88
MU,3169356,Três Marias (MG),Total,Total,25,34,42,31,40,23,31,26,26,26,29,25
MU,3169406,Três Pontas (MG),Total,Total,61,54,67,56,59,59,51,46,52,60,54,47
MU,3169505,Tumiritinga (MG),Total,Total,6,8,6,4,6,9,7,12,2,7,5,8
MU,3169604,Tupaciguara (MG),Total,Total,21,26,21,16,35,21,24,26,14,14,9,22
MU,3169703,Turmalina (MG),Total,Total,23,19,19,16,27,23,19,19,20,22,17,12
MU,3169802,Turvolândia (MG),Total,Total,5,3,5,10,7,5,5,2,5,1,2,4
MU,3169901,Ubá (MG),Total,Total,103,99,125,106,106,102,84,80,74,75,72,89
MU,3170008,Ubaí (MG),Total,Total,17,6,20,10,14,13,10,13,11,17,14,6
MU,3170057,Ubaporanga (MG),Total,Total,4,10,16,20,17,6,17,12,7,14,9,12
MU,3170107,Uberaba (MG),Total,Total,347,368,361,375,364,352,342,307,300,325,296,314
MU,3170206,Uberlândia (MG),Total,Total,802,830,885,836,860,780,709,706,715,700,660,712
MU,3170305,Umburatiba (MG),Total,Total,3,2,3,9,2,2,3,1,1,2,1,1
MU,3170404,Unaí (MG),Total,Total,86,102,107,94,79,82,92,84,97,75,79,63
MU,3170438,União de Minas (MG),Total,Total,5,1,8,4,5,2,4,7,1,2,3,2
MU,3170479,Uruana de Minas (MG),Total,Total,3,3,3,-,3,2,5,4,2,1,1,-
MU,3170503,Urucânia (MG),Total,Total,6,8,14,12,10,7,9,13,5,10,8,16
MU,3170529,Urucuia (MG),Total,Total,4,12,15,7,6,20,11,13,7,15,6,8
MU,3170578,Vargem Alegre (MG),Total,Total,8,5,8,6,8,4,3,2,2,3,2,3
MU,3170602,Vargem Bonita (MG),Total,Total,-,-,2,3,-,-,-,-,4,-,2,2
MU,3170651,Vargem Grande do Rio Pardo (MG),Total,Total,7,4,7,3,3,4,3,3,5,5,5,7
MU,3170701,Varginha (MG),Total,Total,160,140,153,155,174,158,137,126,149,116,123,134
MU,3170750,Varjão de Minas (MG),Total,Total,10,10,12,8,14,3,11,8,5,9,12,6
MU,3170800,Várzea da Palma (MG),Total,Total,32,33,28,35,32,24,25,27,30,28,24,20
MU,3170909,Varzelândia (MG),Total,Total,18,14,28,23,24,21,22,18,17,23,18,16
MU,3171006,Vazante (MG),Total,Total,21,29,20,20,20,18,18,17,21,20,6,20
MU,3171030,Verdelândia (MG),Total,Total,6,14,15,12,10,12,8,13,6,15,13,12
MU,3171071,Veredinha (MG),Total,Total,8,2,6,4,6,5,6,4,5,7,5,7
MU,3171105,Veríssimo (MG),Total,Total,3,2,2,6,2,2,7,4,2,3,3,1
MU,3171154,Vermelho Novo (MG),Total,Total,3,7,10,4,2,2,6,7,3,3,4,4
MU,3171204,Vespasiano (MG),Total,Total,175,148,205,196,137,157,150,125,129,129,125,155
MU,3171303,Viçosa (MG),Total,Total,61,66,93,75,91,64,71,75,59,55,66,52
MU,3171402,Vieiras (MG),Total,Total,4,4,-,6,3,5,2,3,4,4,1,3
MU,3171501,Mathias Lobato (MG),Total,Total,3,8,4,4,2,3,4,1,3,5,2,2
MU,3171600,Virgem da Lapa (MG),Total,Total,8,11,6,11,12,9,5,10,10,5,7,8
MU,3171709,Virgínia (MG),Total,Total,5,9,7,5,11,4,6,10,8,11,-,11
MU,3171808,Virginópolis (MG),Total,Total,15,13,18,12,17,9,14,16,14,10,12,9
MU,3171907,Virgolândia (MG),Total,Total,3,3,7,5,3,5,4,2,8,4,5,1
MU,3172004,Visconde do Rio Branco (MG),Total,Total,36,47,46,50,50,38,39,27,40,40,34,37
MU,3172103,Volta Grande (MG),Total,Total,3,6,4,4,5,6,6,1,5,2,5,3
MU,3172202,Wenceslau Braz (MG),Total,Total,2,4,3,1,2,1,3,1,2,2,2,1
MU,3200102,Afonso Cláudio (ES),Total,Total,30,28,39,31,25,50,25,30,26,23,19,24
MU,3200136,Águia Branca (ES),Total,Total,10,16,8,11,8,10,8,7,7,5,4,12
MU,3200169,Água Doce do Norte (ES),Total,Total,18,15,11,15,19,23,20,14,12,10,8,16
MU,3200201,Alegre (ES),Total,Total,20,33,27,35,39,18,37,25,22,28,23,21
MU,3200300,Alfredo Chaves (ES),Total,Total,8,12,16,7,10,11,8,12,5,13,8,11
MU,3200359,Alto Rio Novo (ES),Total,Total,10,2,12,12,9,8,10,10,4,5,6,6
MU,3200409,Anchieta (ES),Total,Total,37,30,47,31,52,37,22,39,34,21,36,19
MU,3200508,Apiacá (ES),Total,Total,3,6,5,8,6,11,12,5,5,6,3,8
MU,3200607,Aracruz (ES),Total,Total,115,137,124,149,141,116,109,150,96,98,112,105
MU,3200706,Atílio Vivacqua (ES),Total,Total,12,9,9,9,15,8,17,10,12,13,10,7
MU,3200805,Baixo Guandu (ES),Total,Total,25,38,26,30,31,28,30,25,27,29,24,25
MU,3200904,Barra de São Francisco (ES),Total,Total,50,43,57,60,67,58,64,49,48,51,45,51
MU,3201001,Boa Esperança (ES),Total,Total,19,19,25,15,15,19,16,16,10,4,16,13
MU,3201100,Bom Jesus do Norte (ES),Total,Total,8,6,11,7,10,7,6,15,7,12,5,4
MU,3201159,Brejetuba (ES),Total,Total,23,10,13,16,24,13,15,15,24,16,15,15
MU,3201209,Cachoeiro de Itapemirim (ES),Total,Total,244,224,267,263,273,224,196,197,185,200,187,203
MU,3201308,Cariacica (ES),Total,Total,529,493,529,534,536,492,491,459,414,455,398,373
MU,3201407,Castelo (ES),Total,Total,29,42,38,30,46,28,38,34,28,27,27,25
MU,3201506,Colatina (ES),Total,Total,161,155,146,130,172,126,128,114,101,121,116,122
MU,3201605,Conceição da Barra (ES),Total,Total,42,37,39,40,44,27,28,31,22,33,26,31
MU,3201704,Conceição do Castelo (ES),Total,Total,14,13,13,9,22,17,9,10,12,13,12,12
MU,3201803,Divino de São Lourenço (ES),Total,Total,5,4,6,6,8,5,4,4,8,-,5,3
MU,3201902,Domingos Martins (ES),Total,Total,38,42,43,33,48,38,50,31,39,31,28,32
MU,3202009,Dores do Rio Preto (ES),Total,Total,4,6,2,12,9,6,6,7,7,9,5,8
MU,3202108,Ecoporanga (ES),Total,Total,27,25,36,26,24,32,28,19,18,20,21,20
MU,3202207,Fundão (ES),Total,Total,17,20,18,15,24,18,26,13,16,13,17,22
MU,3202256,Governador Lindenberg (ES),Total,Total,8,10,5,13,9,13,12,9,7,15,8,8
MU,3202306,Guaçuí (ES),Total,Total,30,26,31,46,42,27,37,40,36,26,32,31
MU,3202405,Guarapari (ES),Total,Total,152,134,181,146,170,149,142,154,122,142,117,132
MU,3202454,Ibatiba (ES),Total,Total,32,25,35,25,36,33,19,22,28,23,22,22
MU,3202504,Ibiraçu (ES),Total,Total,16,9,16,4,10,17,12,5,11,11,11,11
MU,3202553,Ibitirama (ES),Total,Total,11,10,11,8,9,18,16,16,8,16,8,10
MU,3202603,Iconha (ES),Total,Total,4,13,16,7,18,14,7,15,10,11,10,9
MU,3202652,Irupi (ES),Total,Total,19,14,15,13,6,11,16,10,17,12,11,14
MU,3202702,Itaguaçu (ES),Total,Total,11,14,15,7,15,8,19,10,16,8,8,10
MU,3202801,Itapemirim (ES),Total,Total,53,56,58,59,51,43,48,49,48,45,34,50
MU,3202900,Itarana (ES),Total,Total,10,13,16,14,9,9,9,8,11,7,3,8
MU,3203007,Iúna (ES),Total,Total,50,35,30,35,37,35,39,33,28,31,23,37
MU,3203056,Jaguaré (ES),Total,Total,37,35,57,45,50,39,50,42,34,24,27,29
MU,3203106,Jerônimo Monteiro (ES),Total,Total,13,12,16,13,14,10,11,11,8,9,8,7
MU,3203130,João Neiva (ES),Total,Total,21,15,10,15,14,18,14,17,17,12,12,10
MU,3203163,Laranja da Terra (ES),Total,Total,8,8,13,6,11,6,4,7,2,4,7,6
MU,3203205,Linhares (ES),Total,Total,228,223,203,211,268,220,245,199,193,185,163,185
MU,3203304,Mantenópolis (ES),Total,Total,12,18,21,21,12,17,10,10,7,16,13,15
MU,3203320,Marataízes (ES),Total,Total,44,47,58,41,45,47,47,38,42,49,36,31
MU,3203346,Marechal Floriano (ES),Total,Total,23,24,22,4,2,6,21,21,8,8,15,13
MU,3203353,Marilândia (ES),Total,Total,20,7,16,15,8,9,16,11,5,10,8,14
MU,3203403,Mimoso do Sul (ES),Total,Total,27,27,14,25,22,24,12,18,18,18,19,14
MU,3203502,Montanha (ES),Total,Total,11,18,17,23,18,24,21,33,15,11,9,19
MU,3203601,Mucurici (ES),Total,Total,6,5,13,12,2,11,8,7,4,4,7,10
MU,3203700,Muniz Freire (ES),Total,Total,24,24,17,16,30,21,19,11,18,19,15,13
MU,3203809,Muqui (ES),Total,Total,17,13,13,12,15,19,15,18,17,9,12,10
MU,3203908,Nova Venécia (ES),Total,Total,52,59,57,71,69,61,49,59,53,43,53,43
MU,3204005,Pancas (ES),Total,Total,29,25,17,31,19,23,28,19,13,19,18,21
MU,3204054,Pedro Canário (ES),Total,Total,23,29,35,34,42,22,28,31,31,25,30,34
MU,3204104,Pinheiros (ES),Total,Total,30,28,27,30,24,31,22,21,27,21,20,29
MU,3204203,Piúma (ES),Total,Total,24,18,26,19,32,27,26,21,20,21,26,30
MU,3204252,Ponto Belo (ES),Total,Total,5,1,4,9,12,6,5,6,4,7,4,9
MU,3204302,Presidente Kennedy (ES),Total,Total,20,19,19,18,11,15,17,21,16,10,16,14
MU,3204351,Rio Bananal (ES),Total,Total,18,23,18,26,34,20,22,23,18,17,17,15
MU,3204401,Rio Novo do Sul (ES),Total,Total,9,16,15,11,11,10,15,15,6,13,6,9
MU,3204500,Santa Leopoldina (ES),Total,Total,17,10,8,8,5,13,7,9,10,8,13,13
MU,3204559,Santa Maria de Jetibá (ES),Total,Total,38,40,54,42,48,41,57,45,50,47,35,42
MU,3204609,Santa Teresa (ES),Total,Total,14,20,20,29,30,30,21,22,19,19,19,19
MU,3204658,São Domingos do Norte (ES),Total,Total,11,8,10,13,13,12,6,10,6,5,6,5
MU,3204708,São Gabriel da Palha (ES),Total,Total,34,32,43,41,43,40,31,33,28,19,27,34
MU,3204807,São José do Calçado (ES),Total,Total,8,10,17,8,17,4,12,14,11,10,8,9
MU,3204906,São Mateus (ES),Total,Total,149,162,147,143,189,147,158,146,129,128,120,141
MU,3204955,São Roque do Canaã (ES),Total,Total,10,10,13,9,13,11,13,12,2,5,6,7
MU,3205002,Serra (ES),Total,Total,673,666,729,749,747,687,639,641,563,556,512,594
MU,3205010,Sooretama (ES),Total,Total,34,34,39,51,35,34,37,37,30,35,28,35
MU,3205036,Vargem Alta (ES),Total,Total,23,16,31,21,26,14,19,31,21,17,14,15
MU,3205069,Venda Nova do Imigrante (ES),Total,Total,29,31,19,24,29,28,36,24,17,25,13,16
MU,3205101,Viana (ES),Total,Total,112,100,100,25,28,37,106,98,82,84,87,98
MU,3205150,Vila Pavão (ES),Total,Total,11,11,8,17,5,12,6,6,4,9,7,6
MU,3205176,Vila Valério (ES),Total,Total,15,16,21,20,20,21,21,10,15,12,10,12
MU,3205200,Vila Velha (ES),Total,Total,586,531,553,542,560,530,532,485,466,453,402,461
MU,3205309,Vitória (ES),Total,Total,367,415,419,389,404,353,397,337,300,309,319,327
MU,3300100,Angra dos Reis (RJ),Total,Total,224,257,259,223,240,233,238,205,211,185,178,195
MU,3300159,Aperibé (RJ),Total,Total,11,17,16,12,11,18,7,15,6,10,5,8
MU,3300209,Araruama (RJ),Total,Total,142,132,155,141,175,96,129,121,118,111,97,113
MU,3300225,Areal (RJ),Total,Total,16,17,15,12,8,16,8,17,8,13,14,13
MU,3300233,Armação dos Búzios (RJ),Total,Total,68,57,73,65,60,59,52,73,56,64,39,47
MU,3300258,Arraial do Cabo (RJ),Total,Total,26,36,33,40,31,32,34,28,25,33,24,32
MU,3300308,Barra do Piraí (RJ),Total,Total,63,107,106,101,110,93,93,98,71,88,64,61
MU,3300407,Barra Mansa (RJ),Total,Total,172,182,228,203,166,150,177,160,140,125,149,158
MU,3300456,Belford Roxo (RJ),Total,Total,640,585,630,639,634,569,587,524,469,471,399,473
MU,3300506,Bom Jardim (RJ),Total,Total,26,17,42,26,30,32,21,21,20,22,19,26
MU,3300605,Bom Jesus do Itabapoana (RJ),Total,Total,30,46,46,41,33,42,44,30,39,23,37,37
MU,3300704,Cabo Frio (RJ),Total,Total,231,243,292,249,257,219,259,220,186,198,138,172
MU,3300803,Cachoeiras de Macacu (RJ),Total,Total,59,73,76,59,75,73,69,61,50,53,48,64
MU,3300902,Cambuci (RJ),Total,Total,7,16,14,11,15,12,9,8,13,8,13,9
MU,3300936,Carapebus (RJ),Total,Total,14,12,17,14,12,14,15,15,11,13,12,8
MU,3300951,Comendador Levy Gasparian (RJ),Total,Total,11,14,12,19,12,8,17,8,8,7,7,14
MU,3301009,Campos dos Goytacazes (RJ),Total,Total,630,578,658,574,543,601,614,607,557,586,581,613
MU,3301108,Cantagalo (RJ),Total,Total,14,22,34,16,21,9,14,14,21,17,20,10
MU,3301157,Cardoso Moreira (RJ),Total,Total,10,8,14,14,11,11,17,16,15,10,13,7
MU,3301207,Carmo (RJ),Total,Total,21,15,17,22,22,16,17,17,16,13,13,7
MU,3301306,Casimiro de Abreu (RJ),Total,Total,54,50,57,38,47,48,48,58,43,37,36,50
MU,3301405,Conceição de Macabu (RJ),Total,Total,29,21,24,21,29,26,19,17,22,19,11,22
MU,3301504,Cordeiro (RJ),Total,Total,23,26,29,25,25,21,21,27,22,14,26,16
MU,3301603,Duas Barras (RJ),Total,Total,10,9,15,11,14,9,12,9,12,14,5,12
MU,3301702,Duque de Caxias (RJ),Total,Total,948,948,1042,1039,1063,916,857,800,741,646,683,694
MU,3301801,Engenheiro Paulo de Frontin (RJ),Total,Total,13,9,13,6,18,11,10,9,9,9,8,7
MU,3301850,Guapimirim (RJ),Total,Total,60,73,59,64,91,69,50,51,57,48,41,34
MU,3301876,Iguaba Grande (RJ),Total,Total,31,33,23,30,29,32,24,30,24,23,33,23
MU,3301900,Itaboraí (RJ),Total,Total,267,258,333,283,280,284,244,233,243,185,198,241
MU,3302007,Itaguaí (RJ),Total,Total,149,143,170,170,174,153,198,158,161,123,131,131
MU,3302056,Italva (RJ),Total,Total,15,15,10,12,17,10,14,13,9,12,8,12
MU,3302106,Itaocara (RJ),Total,Total,25,13,23,22,31,26,23,26,22,18,15,23
MU,3302205,Itaperuna (RJ),Total,Total,105,101,108,116,101,103,93,76,71,84,64,88
MU,3302254,Itatiaia (RJ),Total,Total,35,35,23,35,23,30,17,35,34,31,26,21
MU,3302270,Japeri (RJ),Total,Total,115,137,131,124,122,93,120,124,116,100,88,92
MU,3302304,Laje do Muriaé (RJ),Total,Total,5,7,7,13,15,5,7,8,9,7,9,1
MU,3302403,Macaé (RJ),Total,Total,322,303,365,340,337,351,340,302,294,300,242,258
MU,3302452,Macuco (RJ),Total,Total,10,4,14,9,9,8,5,8,4,13,12,12
MU,3302502,Magé (RJ),Total,Total,285,275,301,316,295,293,279,253,271,264,255,261
MU,3302601,Mangaratiba (RJ),Total,Total,51,55,41,43,37,49,33,37,31,32,40,43
MU,3302700,Maricá (RJ),Total,Total,160,168,182,152,156,145,170,136,129,117,117,122
MU,3302809,Mendes (RJ),Total,Total,18,17,25,16,18,18,19,10,22,13,9,15
MU,3302858,Mesquita (RJ),Total,Total,194,200,207,214,179,191,193,182,181,171,132,150
MU,3302908,Miguel Pereira (RJ),Total,Total,18,24,22,27,27,20,22,23,19,27,18,26
MU,3303005,Miracema (RJ),Total,Total,25,32,28,35,35,28,36,33,29,28,24,25
MU,3303104,Natividade (RJ),Total,Total,21,19,18,13,16,16,11,15,14,16,10,8
MU,3303203,Nilópolis (RJ),Total,Total,167,177,161,164,149,154,175,153,150,159,113,110
MU,3303302,Niterói (RJ),Total,Total,489,489,572,533,559,503,458,434,441,424,369,449
MU,3303401,Nova Friburgo (RJ),Total,Total,190,190,226,187,202,184,173,169,166,156,157,162
MU,3303500,Nova Iguaçu (RJ),Total,Total,1012,948,1008,997,887,915,912,868,875,827,764,805
MU,3303609,Paracambi (RJ),Total,Total,40,57,54,57,52,63,51,37,47,31,37,35
MU,3303708,Paraíba do Sul (RJ),Total,Total,45,44,52,48,36,47,50,45,36,37,39,44
MU,3303807,Paraty (RJ),Total,Total,56,52,47,48,51,61,48,47,59,51,44,47
MU,3303856,Paty do Alferes (RJ),Total,Total,24,25,26,33,30,28,29,27,32,34,25,33
MU,3303906,Petrópolis (RJ),Total,Total,313,344,357,318,372,307,318,296,283,311,269,308
MU,3303955,Pinheiral (RJ),Total,Total,34,20,38,28,39,28,23,25,31,25,22,19
MU,3304003,Piraí (RJ),Total,Total,32,31,26,40,35,37,33,36,26,34,30,32
MU,3304102,Porciúncula (RJ),Total,Total,12,22,14,21,18,16,14,21,15,11,13,16
MU,3304110,Porto Real (RJ),Total,Total,26,20,26,28,38,25,20,21,18,18,20,17
MU,3304128,Quatis (RJ),Total,Total,12,12,11,11,10,8,15,13,15,9,7,13
MU,3304144,Queimados (RJ),Total,Total,216,217,210,221,185,213,206,175,146,188,159,176
MU,3304151,Quissamã (RJ),Total,Total,37,27,20,34,22,17,27,23,28,28,17,31
MU,3304201,Resende (RJ),Total,Total,154,150,143,181,188,168,130,121,128,133,115,113
MU,3304300,Rio Bonito (RJ),Total,Total,66,64,85,83,77,65,44,49,48,56,43,57
MU,3304409,Rio Claro (RJ),Total,Total,15,23,21,18,23,12,20,6,19,15,11,15
MU,3304508,Rio das Flores (RJ),Total,Total,7,11,12,11,11,9,3,2,10,10,9,7
MU,3304524,Rio das Ostras (RJ),Total,Total,112,116,142,123,108,106,188,183,168,159,135,141
MU,3304557,Rio de Janeiro (RJ),Total,Total,6757,6516,7118,7144,7217,6452,6562,6332,5934,5555,5333,5721
MU,3304607,Santa Maria Madalena (RJ),Total,Total,9,10,7,9,17,4,10,9,12,12,12,6
MU,3304706,Santo Antônio de Pádua (RJ),Total,Total,45,43,46,44,40,43,37,33,24,27,33,40
MU,3304755,São Francisco de Itabapoana (RJ),Total,Total,56,44,45,43,44,50,39,47,41,50,31,41
MU,3304805,São Fidélis (RJ),Total,Total,37,46,46,32,31,34,31,29,29,26,31,35
MU,3304904,São Gonçalo (RJ),Total,Total,1045,1059,1121,1028,1038,983,928,893,786,781,751,788
MU,3305000,São João da Barra (RJ),Total,Total,48,39,48,41,41,54,35,38,31,37,39,43
MU,3305109,São João de Meriti (RJ),Total,Total,546,524,509,523,533,512,496,474,455,396,371,419
MU,3305133,São José de Ubá (RJ),Total,Total,8,6,12,7,10,9,7,5,3,11,5,4
MU,3305158,São José do Vale do Rio Preto (RJ),Total,Total,25,15,26,24,21,22,24,17,15,30,25,26
MU,3305208,São Pedro da Aldeia (RJ),Total,Total,115,120,136,126,138,117,123,117,108,108,100,123
MU,3305307,São Sebastião do Alto (RJ),Total,Total,7,7,9,12,9,8,8,9,6,5,7,9
MU,3305406,Sapucaia (RJ),Total,Total,19,20,9,21,27,11,15,18,10,13,16,15
MU,3305505,Saquarema (RJ),Total,Total,112,88,115,114,98,102,107,103,99,101,95,96
MU,3305554,Seropédica (RJ),Total,Total,68,81,86,69,67,110,113,90,78,70,69,69
MU,3305604,Silva Jardim (RJ),Total,Total,21,18,28,27,32,21,29,23,24,18,14,21
MU,3305703,Sumidouro (RJ),Total,Total,17,13,22,12,21,15,23,17,19,15,12,9
MU,3305752,Tanguá (RJ),Total,Total,43,40,53,48,54,34,37,29,30,33,23,27
MU,3305802,Teresópolis (RJ),Total,Total,132,134,152,205,217,188,185,151,177,166,176,168
MU,3305901,Trajano de Moraes (RJ),Total,Total,12,13,11,13,6,7,11,5,5,4,10,8
MU,3306008,Três Rios (RJ),Total,Total,109,100,121,114,109,50,100,80,77,81,63,84
MU,3306107,Valença (RJ),Total,Total,81,64,60,79,69,64,58,57,53,57,55,58
MU,3306156,Varre-Sai (RJ),Total,Total,11,15,24,14,12,19,17,15,11,6,11,11
MU,3306206,Vassouras (RJ),Total,Total,47,46,51,39,45,40,29,46,27,51,39,48
MU,3306305,Volta Redonda (RJ),Total,Total,325,338,331,330,301,247,263,244,248,223,236,230
MU,3500105,Adamantina (SP),Total,Total,37,51,36,35,35,28,30,38,26,25,12,25
MU,3500204,Adolfo (SP),Total,Total,7,5,6,2,4,-,5,6,5,1,2,3
MU,3500303,Aguaí (SP),Total,Total,34,27,40,26,40,31,34,32,30,27,42,38
MU,3500402,Águas da Prata (SP),Total,Total,3,4,6,15,8,6,6,12,6,9,2,4
MU,3500501,Águas de Lindóia (SP),Total,Total,15,23,27,15,20,25,12,12,20,17,16,11
MU,3500550,Águas de Santa Bárbara (SP),Total,Total,10,9,9,6,10,6,12,7,7,2,4,8
MU,3500600,Águas de São Pedro (SP),Total,Total,4,3,2,4,5,4,1,2,3,1,2,3
MU,3500709,Agudos (SP),Total,Total,41,30,52,49,48,36,40,40,46,50,29,36
