"Tabela 2612 - Nascidos vivos, ocorridos no ano, por mês do nascimento, sexo, local de nascimento, número de nascidos por parto, idade da mãe na ocasião do parto e lugar de residência da mãe",,,,,,,,,,,,,,,,
Variável - Nascidos vivos ocorridos no ano (Pessoas),,,,,,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Ano x Mês do nascimento x Sexo x Local do nascimento,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,2016,,,,,,,,,,,
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
Nível,Cód.,Município,Número de nascidos por parto,Idade da mãe na ocasião do parto,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
MU,1501451,Belterra (PA),Total,Total,26,32,26,29,28,19,21,24,22,21,27,22
MU,1501501,Benevides (PA),Total,Total,76,90,85,84,74,71,67,82,71,70,68,85
MU,1501576,Bom Jesus do Tocantins (PA),Total,Total,13,22,23,22,18,21,20,21,15,22,15,13
MU,1501600,Bonito (PA),Total,Total,20,9,34,18,18,19,12,17,17,20,12,10
MU,1501709,Bragança (PA),Total,Total,184,156,167,152,172,165,148,164,177,160,157,145
MU,1501725,Brasil Novo (PA),Total,Total,35,19,26,22,28,22,29,30,18,31,34,23
MU,1501758,Brejo Grande do Araguaia (PA),Total,Total,3,9,10,12,9,4,3,9,8,6,10,4
MU,1501782,Breu Branco (PA),Total,Total,59,49,64,67,64,71,68,72,67,76,63,48
MU,1501808,Breves (PA),Total,Total,191,186,187,195,218,190,201,187,186,189,150,173
MU,1501907,Bujaru (PA),Total,Total,50,31,43,38,39,43,28,31,44,40,38,37
MU,1501956,Cachoeira do Piriá (PA),Total,Total,22,18,13,32,18,25,21,18,12,8,11,7
MU,1502004,Cachoeira do Arari (PA),Total,Total,39,37,28,31,28,33,44,24,44,33,29,23
MU,1502103,Cametá (PA),Total,Total,177,166,200,192,168,198,163,192,207,168,152,142
MU,1502152,Canaã dos Carajás (PA),Total,Total,89,102,125,123,119,114,120,109,118,106,85,100
MU,1502202,Capanema (PA),Total,Total,82,96,91,86,81,89,79,77,62,98,75,58
MU,1502301,Capitão Poço (PA),Total,Total,72,53,57,63,64,71,59,44,52,73,54,50
MU,1502400,Castanhal (PA),Total,Total,259,252,265,252,242,267,258,263,294,248,202,243
MU,1502509,Chaves (PA),Total,Total,22,31,25,24,30,17,28,29,19,22,30,21
MU,1502608,Colares (PA),Total,Total,19,7,18,17,18,23,14,16,16,16,20,9
MU,1502707,Conceição do Araguaia (PA),Total,Total,52,61,44,75,77,62,59,63,63,53,49,50
MU,1502756,Concórdia do Pará (PA),Total,Total,71,42,44,41,37,47,34,41,39,39,32,19
MU,1502764,Cumaru do Norte (PA),Total,Total,8,8,5,13,10,5,6,7,8,8,3,6
MU,1502772,Curionópolis (PA),Total,Total,34,31,38,28,29,21,32,22,22,30,22,29
MU,1502806,Curralinho (PA),Total,Total,47,45,53,47,56,55,41,37,54,45,37,35
MU,1502855,Curuá (PA),Total,Total,21,23,17,20,22,14,14,20,16,17,12,14
MU,1502905,Curuçá (PA),Total,Total,45,36,34,38,47,37,38,50,44,52,36,40
MU,1502939,Dom Eliseu (PA),Total,Total,48,54,51,58,61,51,67,53,60,51,47,51
MU,1502954,Eldorado do Carajás (PA),Total,Total,52,33,33,34,44,54,44,48,37,36,30,25
MU,1503002,Faro (PA),Total,Total,9,7,9,14,10,9,8,18,12,9,14,7
MU,1503044,Floresta do Araguaia (PA),Total,Total,21,33,26,22,33,26,23,18,32,27,19,19
MU,1503077,Garrafão do Norte (PA),Total,Total,39,33,31,25,35,34,35,32,35,27,27,28
MU,1503093,Goianésia do Pará (PA),Total,Total,33,38,33,34,35,30,26,39,22,27,19,24
MU,1503101,Gurupá (PA),Total,Total,53,47,40,46,45,43,43,46,47,25,28,38
MU,1503200,Igarapé-Açu (PA),Total,Total,38,33,62,48,47,38,42,42,47,46,43,44
MU,1503309,Igarapé-Miri (PA),Total,Total,79,81,86,83,82,70,82,68,69,75,68,60
MU,1503408,Inhangapi (PA),Total,Total,12,17,19,12,19,16,17,9,12,12,8,16
MU,1503457,Ipixuna do Pará (PA),Total,Total,40,38,40,47,44,48,42,44,44,45,32,31
MU,1503507,Irituia (PA),Total,Total,48,43,38,41,36,30,34,43,53,45,36,30
MU,1503606,Itaituba (PA),Total,Total,176,157,167,165,159,158,172,158,151,184,162,150
MU,1503705,Itupiranga (PA),Total,Total,62,59,60,72,75,61,67,65,61,65,46,44
MU,1503754,Jacareacanga (PA),Total,Total,38,18,25,49,30,22,26,23,13,10,10,17
MU,1503804,Jacundá (PA),Total,Total,74,67,65,67,73,66,74,78,73,52,61,57
MU,1503903,Juruti (PA),Total,Total,79,76,116,85,82,81,63,75,61,74,77,52
MU,1504000,Limoeiro do Ajuru (PA),Total,Total,31,38,43,45,39,32,35,34,27,34,35,26
MU,1504059,Mãe do Rio (PA),Total,Total,50,45,52,49,43,47,43,43,41,45,40,46
MU,1504109,Magalhães Barata (PA),Total,Total,9,9,7,8,14,11,9,8,8,6,9,8
MU,1504208,Marabá (PA),Total,Total,379,340,392,387,374,358,364,368,387,317,297,276
MU,1504307,Maracanã (PA),Total,Total,36,30,33,27,25,34,30,38,41,35,29,31
MU,1504406,Marapanim (PA),Total,Total,40,39,29,27,27,37,31,31,28,28,31,23
MU,1504422,Marituba (PA),Total,Total,150,130,125,147,147,124,157,122,138,127,142,124
MU,1504455,Medicilândia (PA),Total,Total,52,29,38,38,35,31,28,30,30,28,27,30
MU,1504505,Melgaço (PA),Total,Total,41,36,52,43,48,41,41,40,41,42,45,25
MU,1504604,Mocajuba (PA),Total,Total,39,37,39,45,69,55,53,54,31,38,35,32
MU,1504703,Moju (PA),Total,Total,103,81,112,99,90,120,92,89,94,78,87,60
MU,1504752,Mojuí dos Campos (PA),Total,Total,24,21,28,26,23,14,18,19,30,32,26,30
MU,1504802,Monte Alegre (PA),Total,Total,89,73,96,85,99,102,98,102,91,87,77,89
MU,1504901,Muaná (PA),Total,Total,54,48,49,48,58,54,72,43,54,37,44,47
MU,1504950,Nova Esperança do Piriá (PA),Total,Total,22,24,22,30,29,21,29,24,20,21,10,13
