 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Mês do nascimento
Período:1994
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Ignorado";"Total"
"150290 Curuçá";20;10;8;10;11;15;9;14;9;13;19;6;-;144
"150293 Dom Eliseu";5;31;14;13;6;10;13;6;4;2;-;2;-;106
"150295 Eldorado do Carajás";6;6;4;3;11;8;3;-;3;1;4;9;-;58
"150300 Faro";4;7;3;6;5;9;4;8;4;2;5;4;-;61
"150307 Garrafão do Norte";20;18;12;32;28;24;18;14;12;23;27;15;-;243
"150309 Goianésia do Pará";-;6;19;27;39;31;29;36;33;35;38;26;-;319
"150310 Gurupá";19;18;24;30;18;11;13;21;23;13;27;15;-;232
"150320 Igarapé-Açu";76;59;41;56;61;57;37;57;42;65;65;76;-;692
"150330 Igarapé-Miri";61;30;33;43;55;35;37;39;15;26;17;34;-;425
"150340 Inhangapi";9;12;13;16;17;12;10;16;11;9;10;14;-;149
"150345 Ipixuna do Pará";13;12;20;18;15;6;16;4;10;7;15;15;-;151
"150350 Irituia";25;20;29;16;37;19;23;24;19;28;21;27;-;288
"150360 Itaituba";2;4;23;2;233;141;23;19;27;30;60;76;-;640
"150370 Itupiranga";37;35;58;12;7;54;58;62;45;54;36;30;-;488
"150375 Jacareacanga";6;5;8;3;4;4;2;3;-;-;1;-;-;36
"150380 Jacundá";42;34;47;47;47;46;45;15;-;1;14;51;-;389
"150390 Juruti";17;19;21;22;27;17;35;23;33;33;19;15;-;281
"150400 Limoeiro do Ajuru";3;17;15;8;9;10;13;17;13;11;15;14;-;145
"150405 Mãe do Rio";19;30;21;16;13;26;27;31;28;17;14;8;-;250
"150410 Magalhães Barata";10;11;9;10;10;10;17;14;8;11;15;10;-;135
"150420 Marabá";190;187;197;220;216;315;213;10;7;180;196;242;-;2173
"150430 Maracanã";29;26;22;33;34;32;31;41;30;32;39;29;-;378
