Sigla,Code,Munic,1996,2000,2007,2010
BA,2918308,Jitaúna,9044,11488,7689,4855
BA,2918357,João Dourado,7456,7526,7892,8980
BA,2918407,Juazeiro,38948,41289,,37190
BA,2918456,Jucuruçu,10310,10527,8720,7998
BA,2918506,Jussara,4382,5474,5388,5000
BA,2918555,Jussari,3043,2432,1860,1598
BA,2918605,Jussiape,6635,6285,5391,4963
BA,2918704,Lafaiete Coutinho,3135,2181,1559,1797
BA,2918753,Lagoa Real,10136,10759,11050,11126
BA,2918803,Laje,15309,14483,15392,16121
BA,2918902,Lajedão,1943,1557,1417,1657
BA,2919009,Lajedinho,3450,3198,3090,2691
BA,2919058,Lajedo do Tabocal,4233,3492,3516,3156
BA,2919108,Lamarão,8513,7595,10048,7475
BA,2919157,Lapão,13724,15505,15705,15596
BA,2919207,Lauro de Freitas,39019,5158,,0
BA,2919306,Lençóis,5199,2515,2293,2331
BA,2919405,Licínio de Almeida,7164,6392,6513,6058
BA,2919504,Livramento de Nossa Senhora,20840,21301,23115,22163
BA,2919553,Luís Eduardo Magalhães,,,3763,5224
BA,2919603,Macajuba,6648,7069,4268,4358
BA,2919702,Macarani,8264,3875,3983,3454
BA,2919801,Macaúbas,28891,30125,31317,31640
BA,2919900,Macururé,5113,6257,5239,5213
BA,2919926,Madre de Deus,387,437,495,522
BA,2919959,Maetinga,9681,11712,6217,4221
BA,2920007,Maiquinique,2557,2118,1758,1866
BA,2920106,Mairi,11774,10490,8645,8211
BA,2920205,Malhada,11685,9541,9225,9455
BA,2920304,Malhada de Pedras,5665,6078,4920,5234
BA,2920403,Manoel Vitorino,9283,9921,7666,7028
BA,2920452,Mansidão,8773,8712,7793,7810
BA,2920502,Maracás,14401,13167,11640,6906
BA,2920601,Maragogipe,15103,19271,19563,17722
BA,2920700,Maraú,15170,15517,13563,15540
BA,2920809,Marcionílio Souza,8233,5678,5351,5188
BA,2920908,Mascote,14891,4240,3640,2961
BA,2921005,Mata de São João,8954,7599,10205,10358
BA,2921054,Matina,7213,7483,8223,7672
BA,2921104,Medeiros Neto,7350,5208,5277,4496
BA,2921203,Miguel Calmon,16268,13448,11293,10409
BA,2921302,Milagres,2882,2708,2198,2517
BA,2921401,Mirangaba,11854,9548,9935,8400
BA,2921450,Mirante,9907,12387,7579,8698
BA,2921500,Monte Santo,45768,47326,44031,43493
BA,2921609,Morpará,4222,3103,2933,2742
BA,2921708,Morro do Chapéu,13899,14701,14764,14897
BA,2921807,Mortugaba,7875,7604,7941,6590
BA,2921906,Mucugê,9989,10365,10012,6365
BA,2922003,Mucuri,16346,9377,8887,8534
BA,2922052,Mulungu do Morro,8839,8960,7218,6330
BA,2922102,Mundo Novo,10992,10144,11088,10831
BA,2922201,Muniz Ferreira,3870,3640,3766,3923
BA,2922250,Muquém de São Francisco,8798,8055,9021,8989
BA,2922300,Muritiba,12466,12739,10038,10859
BA,2922409,Mutuípe,11575,11478,11929,11790
BA,2922508,Nazaré,4498,3354,3282,4410
BA,2922607,Nilo Peçanha,14266,8718,9519,9425
BA,2922656,Nordestina,8338,8925,8540,8450
BA,2922706,Nova Canaã,8392,9393,10296,9861
BA,2922730,Nova Fátima,3062,3095,2846,2528
BA,2922755,Nova Ibiá,9726,4632,3918,3841
BA,2922805,Nova Itarana,4254,4095,4770,4720
BA,2922854,Nova Redenção,7068,4144,3813,2797
BA,2922904,Nova Soure,13175,13536,14682,12406
BA,2923001,Nova Viçosa,17187,7440,7515,5030
BA,2923035,Novo Horizonte,9307,6502,7143,7168
BA,2923050,Novo Triunfo,8478,8352,8034,7548
BA,2923100,Olindina,12483,12757,11415,12170
BA,2923209,Oliveira dos Brejinhos,16156,15853,16034,15247
BA,2923308,Ouriçangas,5319,4941,4937,5536
BA,2923357,Ourolândia,10615,10898,10900,10084
BA,2923407,Palmas de Monte Alto,14150,13442,12718,10943
BA,2923506,Palmeiras,5759,3519,3918,3171
BA,2923605,Paramirim,17506,11038,11019,10972
BA,2923704,Paratinga,15954,18612,19089,18599
BA,2923803,Paripiranga,20165,18810,19344,18245
BA,2923902,Pau Brasil,4637,4308,4099,3470
BA,2924009,Paulo Afonso,13336,13915,14541,14992
BA,2924058,Pé de Serra,9505,9420,9166,8578
BA,2924108,Pedrão,5595,5307,5684,5160
BA,2924207,Pedro Alexandre,13663,14822,14475,14209
BA,2924306,Piatã,14089,13206,10868,10370
BA,2924405,Pilão Arcado,25276,22848,23020,21833
BA,2924504,Pindaí,11710,11863,11360,11309
BA,2924603,Pindobaçu,18698,10413,9485,8884
BA,2924652,Pintadas,7487,6851,5452,4502
BA,2924678,Piraí do Norte,15223,7638,5651,6110
BA,2924702,Piripá,10130,10880,6932,6588
BA,2924801,Piritiba,9238,6309,9053,7237
BA,2924900,Planaltino,5354,4973,5004,5182
BA,2925006,Planalto,12952,9170,7710,9612
BA,2925105,Poções,10618,12412,12136,10042
BA,2925204,Pojuca,4339,4319,4003,4688
BA,2925253,Ponto Novo,11475,10420,6917,7337
BA,2925303,Porto Seguro,12716,16102,18645,22851
BA,2925402,Potiraguá,8619,7033,3780,3206
BA,2925501,Prado,12297,12329,10671,12153
BA,2925600,Presidente Dutra,6446,6071,5559,4694
BA,2925709,Presidente Jânio Quadros,14628,14132,10939,9454
BA,2925758,Presidente Tancredo Neves,14534,13183,14486,14277
BA,2925808,Queimadas,14648,14830,14108,12110
BA,2925907,Quijingue,20008,21484,20862,20851
BA,2925931,Quixabeira,11708,6336,5928,5891
BA,2925956,Rafael Jambeiro,18894,17698,17146,16024
BA,2926004,Remanso,14729,15242,16469,15487
BA,2926103,Retirolândia,7016,5417,5559,5333
BA,2926202,Riachão das Neves,11836,11660,11854,11193
BA,2926301,Riachão do Jacuípe,15883,16064,15882,13312
