Sigla,Codigo,Munic’pio,1991,2000
BA,2901353,Andorinha,3666,4335
BA,2901403,Angical,3749,6035
BA,2901502,Anguera,2983,3456
BA,2901601,Antas,4026,5014
BA,2901700,Ant™nio Cardoso,808,2316
BA,2901809,Ant™nio Gonçalves,4540,5260
BA,2901908,Apor‡,5941,6546
BA,2901957,Apuarema,3681,4382
BA,2902005,Aracatu,2077,3187
BA,2902054,Araças,3759,5330
BA,2902104,Araci,11584,16189
BA,2902203,Aramari,3829,4291
BA,2902252,Arataca,4456,5483
BA,2902302,Aratu’pe,3738,4787
BA,2902401,Aurelino Leal,9268,13940
BA,2902500,Baian—polis,2305,2727
BA,2902609,Baixa Grande,6071,7126
BA,2902658,Banzaê,939,3414
BA,2902708,Barra,15767,19641
BA,2902807,Barra da Estiva,4659,8933
BA,2902906,Barra do Choça,11644,17721
BA,2903003,Barra do Mendes,4817,5579
BA,2903102,Barra do Rocha,3065,3425
BA,2903201,Barreiras,70870,115784
BA,2903235,Barro Alto,2448,5176
BA,2903276,Barrocas,,
BA,2903300,Governador Lomanto Jœnior,4589,5159
BA,2903409,Belmonte,10860,10806
BA,2903508,Belo Campo,5713,8082
BA,2903607,Biritinga,1781,2347
BA,2903706,Boa Nova,2988,4589
BA,2903805,Boa Vista do Tupim,4296,5840
BA,2903904,Bom Jesus da Lapa,32390,37726
BA,2903953,Bom Jesus da Serra,1127,1953
BA,2904001,Boninal,2492,3821
BA,2904050,Bonito,4349,5501
BA,2904100,Boquira,5057,6600
BA,2904209,Botupor‹,1762,3251
BA,2904308,Brej›es,3352,4568
BA,2904407,Brejol‰ndia,1513,1832
BA,2904506,Brotas de Macaœbas,2450,3050
BA,2904605,Brumado,36013,40710
BA,2904704,Buerarema,15959,16249
BA,2904753,Buritirama,2785,5924
BA,2904803,Caatiba,3106,4428
BA,2904852,Cabaceiras do Paraguaçu,1846,3305
BA,2904902,Cachoeira,14193,15831
BA,2905008,Cacul_,8697,11531
BA,2905107,Ca_m,3824,3377
BA,2905156,Caetanos,891,2312
BA,2905206,Caetit_,16925,23459
BA,2905305,Cafarnaum,5883,9209
BA,2905404,Cairu,5597,6981
BA,2905503,Caldeir‹o Grande,4852,4081
BA,2905602,Camacan,16364,24282
BA,2905701,Camaçari,108232,154402
BA,2905800,Camamu,8125,12107
BA,2905909,Campo Alegre de Lourdes,4177,6539
BA,2906006,Campo Formoso,16432,21003
BA,2906105,Can‡polis,1638,2538
BA,2906204,Canarana,7549,9755
BA,2906303,Canavieiras,20658,26343
BA,2906402,Candeal,2541,3417
BA,2906501,Candeias,61438,69127
BA,2906600,Candiba,4087,6159
BA,2906709,C‰ndido Sales,11883,18924
BA,2906808,Cansanç‹o,6926,9221
BA,2906824,Canudos,5232,7012
BA,2906857,Capela do Alto Alegre,3425,4533
BA,2906873,Capim Grosso,12470,17861
BA,2906899,Cara’bas,518,1424
BA,2906907,Caravelas,8932,10332
BA,2907004,Cardeal da Silva,2274,2832
BA,2907103,Carinhanha,7325,10483
BA,2907202,Casa Nova,18482,27266
BA,2907301,Castro Alves,13187,14647
BA,2907400,Catol‰ndia,801,848
BA,2907509,Catu,33394,37816
BA,2907558,Caturama,1192,1563
BA,2907608,Central,6621,7637
BA,2907707,Chorroch—,1528,2155
BA,2907806,C’cero Dantas,12124,15797
BA,2907905,Cip—,7770,9527
BA,2908002,Coaraci,21659,23269
BA,2908101,Cocos,4972,6424
BA,2908200,Conceiç‹o da Feira,8035,11237
BA,2908309,Conceiç‹o do Almeida,7659,8318
BA,2908408,Conceiç‹o do Coit_,20002,28026
BA,2908507,Conceiç‹o do Jacu’pe,16174,19466
BA,2908606,Conde,5494,10492
BA,2908705,Condeœba,5761,6331
BA,2908804,Contendas do Sincor‡,2181,2331
BA,2908903,Coraç‹o de Maria,5570,7528
BA,2909000,Cordeiros,2296,2100
BA,2909109,Coribe,4825,5695
BA,2909208,Coronel Jo‹o S‡,2972,5538
BA,2909307,Correntina,8636,11355
BA,2909406,Cotegipe,5118,6547
BA,2909505,Cravol‰ndia,2475,3000
BA,2909604,Cris—polis,4057,6855
BA,2909703,Crist—polis,2252,2675
BA,2909802,Cruz das Almas,30908,39604
BA,2909901,Curaç‡,7749,10775
BA,2910008,D‡rio Meira,4102,4931
BA,2910057,Dias d'çvila,29478,42673
BA,2910107,Dom Bas’lio,1109,1521
BA,2910206,Dom Macedo Costa,853,1297
BA,2910305,El’sio Medrado,1997,2514
BA,2910404,Encruzilhada,3692,4983
BA,2910503,Entre Rios,16897,23019
BA,2910602,Esplanada,15198,17538
BA,2910701,Euclides da Cunha,17778,24531
BA,2910727,Eun‡polis,63540,79161
BA,2910750,F‡tima,4344,6343
BA,2910776,Feira da Mata,1470,2822
BA,2910800,Feira de Santana,349557,431730
BA,2910859,Filad_lfia,4902,7966
BA,2910909,Firmino Alves,3793,3806
BA,2911006,Floresta Azul,7766,7548
BA,2911105,Formosa do Rio Preto,5624,9381
BA,2911204,Gandu,19597,22060
BA,2911253,Gavi‹o,2486,2203
BA,2911303,Gentio do Ouro,4163,4902
BA,2911402,Gl—ria,1611,2365
BA,2911501,Gongogi,5676,6250
BA,2911600,Governador Mangabeira,5338,6684
BA,2911659,Guajeru,1044,1723
BA,2911709,Guanambi,45127,54003
BA,2911808,Guaratinga,9159,10017
BA,2911857,Heli—polis,2367,4232
BA,2911907,Iaçu,18806,21636
BA,2912004,Ibiassucê,2956,4037
BA,2912103,Ibicara’,19332,19333
BA,2912202,Ibicoara,1253,4016
BA,2912301,Ibicu’,9308,10454
BA,2912400,Ibipeba,4973,9282
BA,2912509,Ibipitanga,2199,3663
BA,2912608,Ibiquera,2060,2493
BA,2912707,Ibirapitanga,6697,6363
BA,2912806,Ibirapu‹,3413,3573
BA,2912905,Ibirataia,15369,18726
BA,2913002,Ibitiara,2921,2714
BA,2913101,Ibitit‡,6588,8060
BA,2913200,Ibotirama,15231,16384
BA,2913309,Ichu,3124,2663
BA,2913408,Igapor‹,5903,7101
BA,2913457,Igrapiœna,966,2377
BA,2913507,Igua’,9062,12557
BA,2913606,Ilh_us,144232,162125
BA,2913705,Inhambupe,10057,12581
BA,2913804,Ipecaet‡,1411,2065
BA,2913903,Ipiaœ,36408,37924
BA,2914000,Ipir‡,18088,23320
BA,2914109,Ipupiara,4102,5184
BA,2914208,Irajuba,1832,2717
BA,2914307,Iramaia,6817,7682
BA,2914406,Iraquara,4093,5330
BA,2914505,Irar‡,7368,8657
BA,2914604,Irecê,40069,53143
BA,2914653,Itabela,13577,18837
BA,2914703,Itaberaba,36934,44517
BA,2914802,Itabuna,177561,191184
BA,2914901,Itacar_,4275,7951
BA,2915007,Itaet_,4676,5454
BA,2915106,Itagi,8536,9986
BA,2915205,Itagib‡,7284,8767
BA,2915304,Itagimirim,5078,5941
BA,2915353,Itaguaçu da Bahia,1530,1987
BA,2915403,Itaju do Col™nia,2885,6441
BA,2915502,Itaju’pe,15972,16123
BA,2915601,Itamaraju,44449,48037
BA,2915700,Itamari,4649,5488
BA,2915809,Itamb_,18516,22175
BA,2915908,Itanagra,1382,1859
BA,2916005,Itanh_m,13060,14090
BA,2916104,Itaparica,15055,18945
BA,2916203,Itap_,7565,8666
BA,2916302,Itapebi,6396,8542
BA,2916401,Itapetinga,49340,55182
BA,2916500,Itapicuru,3395,5085
BA,2916609,Itapitanga,6095,7095
BA,2916708,Itaquara,3070,4165
BA,2916807,Itarantim,10127,12960
BA,2916856,Itatim,6254,8700
BA,2916906,Itiruçu,7700,9871
BA,2917003,Itiœba,7068,8864
BA,2917102,Itoror—,15924,16627
BA,2917201,Ituaçu,3014,4429
BA,2917300,Ituber‡,11806,15910
BA,2917334,Iuiœ,4227,4571
